Sold_to_party,Total_Score,customerType
27389,255,Loyal
26306,255,Loyal
21115,255,Loyal
29650,255,Loyal
22604,255,Loyal
29643,255,Loyal
20708,255,Loyal
27708,255,Loyal
30047,255,Loyal
21177,255,Loyal
29020,255,Loyal
28467,255,Loyal
26131,255,Loyal
29298,255,Loyal
22961,255,Loyal
28364,255,Loyal
21155,255,Loyal
21476,254,Loyal
29023,254,Loyal
29045,254,Loyal
29303,254,Loyal
29725,254,Loyal
26636,254,Loyal
29242,254,Loyal
26260,254,Loyal
26797,254,Loyal
29268,254,Loyal
20405,254,Loyal
27119,254,Loyal
28636,254,Loyal
26703,254,Loyal
29547,254,Loyal
29627,254,Loyal
28967,254,Loyal
25205,254,Loyal
26109,254,Loyal
24493,254,Loyal
28107,254,Loyal
21716,254,Loyal
28761,254,Loyal
21029,254,Loyal
26465,254,Loyal
27372,254,Loyal
28133,254,Loyal
26538,254,Loyal
21618,254,Loyal
27091,254,Loyal
24922,254,Loyal
26845,254,Loyal
26877,254,Loyal
29407,254,Loyal
24877,254,Loyal
27655,254,Loyal
21014,254,Loyal
24999,254,Loyal
20039,254,Loyal
26474,253,Loyal
21065,253,Loyal
20060,253,Loyal
22635,253,Loyal
21044,253,Loyal
27930,253,Loyal
25054,253,Loyal
29996,253,Loyal
24851,253,Loyal
24410,253,Loyal
28747,253,Loyal
28327,253,Loyal
26733,253,Loyal
29211,253,Loyal
24595,253,Loyal
29548,253,Loyal
27847,253,Loyal
26149,253,Loyal
26848,253,Loyal
21349,253,Loyal
20650,253,Loyal
27458,253,Loyal
28059,253,Loyal
26153,253,Loyal
20732,253,Loyal
28221,253,Loyal
28631,252,Loyal
21264,252,Loyal
26745,252,Loyal
28463,252,Loyal
25683,252,Loyal
28386,252,Loyal
22172,252,Loyal
20629,252,Loyal
28803,252,Loyal
29385,252,Loyal
25298,252,Loyal
27162,252,Loyal
27481,252,Loyal
28315,252,Loyal
26890,252,Loyal
26541,252,Loyal
23697,252,Loyal
28316,252,Loyal
25938,252,Loyal
23583,252,Loyal
20433,252,Loyal
28767,252,Loyal
29287,252,Loyal
29626,252,Loyal
28834,251,Loyal
22694,251,Loyal
27744,251,Loyal
25646,251,Loyal
28154,251,Loyal
28676,251,Loyal
24526,251,Loyal
23443,251,Loyal
28627,251,Loyal
20592,251,Loyal
22796,251,Loyal
24730,245,Loyal
26493,245,Loyal
22990,245,Loyal
28906,245,Loyal
27677,245,Loyal
26455,245,Loyal
27981,245,Loyal
28000,245,Loyal
23824,245,Loyal
29062,245,Loyal
25241,245,Loyal
20024,245,Loyal
21469,245,Loyal
22521,245,Loyal
22340,245,Loyal
20494,245,Loyal
20135,245,Loyal
21162,245,Loyal
27559,245,Loyal
28110,245,Loyal
28666,245,Loyal
22748,245,Loyal
23165,245,Loyal
22934,245,Loyal
23158,245,Loyal
29260,245,Loyal
30018,245,Loyal
21887,245,Loyal
29257,245,Loyal
29760,245,Loyal
28596,244,Loyal
28939,244,Loyal
25336,244,Loyal
22755,244,Loyal
26510,244,Loyal
20939,244,Loyal
26487,244,Loyal
23190,244,Loyal
29024,244,Loyal
27393,244,Loyal
29241,244,Loyal
25335,244,Loyal
29021,244,Loyal
29702,244,Loyal
29378,244,Loyal
28928,244,Loyal
22199,244,Loyal
28667,244,Loyal
29679,244,Loyal
29033,244,Loyal
27676,244,Loyal
24880,244,Loyal
30020,244,Loyal
29971,244,Loyal
25207,244,Loyal
20056,244,Loyal
29256,244,Loyal
21151,244,Loyal
28455,244,Loyal
29664,244,Loyal
27975,244,Loyal
26947,244,Loyal
29797,244,Loyal
25710,244,Loyal
20943,244,Loyal
22874,244,Loyal
29566,244,Loyal
21467,244,Loyal
25405,244,Loyal
28090,244,Loyal
28375,243,Loyal
29895,243,Loyal
